date,eid,cid,rate
2022-04-05 20:00:00,4,DOT,21.6428
2022-04-05 20:00:00,5,DOT,21.617
2022-04-05 21:00:00,1,BTC,45160.49
2022-04-05 21:00:00,2,BTC,45196.81
2022-04-05 21:00:00,3,BTC,45153.12
2022-04-05 21:00:00,4,BTC,45188.8
2022-04-05 21:00:00,5,BTC,45165
2022-04-05 21:00:00,1,ETH,3336.37
2022-04-05 21:00:00,2,ETH,3339.76
2022-04-05 21:00:00,3,ETH,3336.71
2022-04-05 21:00:00,4,ETH,3340
2022-04-05 21:00:00,5,ETH,3337.2
2022-04-05 21:00:00,1,LTC,119.6
2022-04-05 21:00:00,2,LTC,119.73
2022-04-05 21:00:00,3,LTC,119.61
2022-04-05 21:00:00,4,LTC,119.69
2022-04-05 21:00:00,5,LTC,119.615
2022-04-05 21:00:00,1,LUNA,117.77
2022-04-05 21:00:00,2,LUNA,117.96
2022-04-05 21:00:00,3,LUNA,117.823
2022-04-05 21:00:00,4,LUNA,117.99
2022-04-05 21:00:00,5,LUNA,117.83
2022-04-05 21:00:00,1,ADA,1.152
2022-04-05 21:00:00,2,ADA,1.1546
2022-04-05 21:00:00,3,ADA,1.152362
2022-04-05 21:00:00,4,ADA,1.152051
2022-04-05 21:00:00,5,ADA,1.151325
2022-04-05 21:00:00,1,DOT,21.36
2022-04-05 21:00:00,2,DOT,21.38
2022-04-05 21:00:00,3,DOT,21.3505
2022-04-05 21:00:00,4,DOT,21.3747
2022-04-05 21:00:00,5,DOT,21.373
2022-04-05 22:00:00,1,BTC,45262.01
2022-04-05 22:00:00,2,BTC,45280.23
2022-04-05 22:00:00,3,BTC,45257.49
2022-04-05 22:00:00,4,BTC,45275.1
2022-04-05 22:00:00,5,BTC,45269
2022-04-05 22:00:00,1,ETH,3345
2022-04-05 22:00:00,2,ETH,3345.76
2022-04-05 22:00:00,3,ETH,3343.87
2022-04-05 22:00:00,4,ETH,3345.63
2022-04-05 22:00:00,5,ETH,3344.4
2022-04-05 22:00:00,1,LTC,119.8
2022-04-05 22:00:00,2,LTC,119.88
2022-04-05 22:00:00,3,LTC,119.7
2022-04-05 22:00:00,4,LTC,119.82
2022-04-05 22:00:00,5,LTC,119.85
2022-04-05 22:00:00,1,LUNA,117.34
2022-04-05 22:00:00,2,LUNA,117.57
2022-04-05 22:00:00,3,LUNA,117.3637
2022-04-05 22:00:00,4,LUNA,117.5
2022-04-05 22:00:00,5,LUNA,117.46
2022-04-05 22:00:00,1,ADA,1.14
2022-04-05 22:00:00,2,ADA,1.1429
